第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
安阳市,安阳,河南,城市映射成功,26
,,法国,境外申请人,26
湖州,湖州,浙江,城市映射成功,25
徐州,徐州,江苏,城市映射成功,25
雅安,雅安,四川,城市映射成功,24
秦皇岛市,秦皇岛,河北,城市映射成功,24
绵阳市,绵阳,四川,城市映射成功,24
济宁,济宁,山东,城市映射成功,23
漳州市,漳州,福建,城市映射成功,23
荆州市,荆州,湖北,城市映射成功,23
大庆市,大庆,黑龙江,城市映射成功,23
齐齐哈尔市,齐齐哈尔,黑龙江,城市映射成功,23
中山,中山,广东,城市映射成功,22
台湾省,台湾省,台湾,城市映射成功,22
枣庄市,枣庄,山东,城市映射成功,22
呼伦贝尔市,呼伦贝尔,内蒙古,城市映射成功,21
金华,金华,浙江,城市映射成功,21
乌鲁木齐,乌鲁木齐,新疆,城市映射成功,20
衡阳市,衡阳,湖南,城市映射成功,20
西宁市,西宁,青海,城市映射成功,20
平顶山市,平顶山,河南,城市映射成功,20
拉萨市,拉萨,西藏,城市映射成功,20
新乡,新乡,河南,城市映射成功,19
阜阳市,阜阳,安徽,城市映射成功,19
温州,温州,浙江,城市映射成功,19
威海,威海,山东,城市映射成功,19
廊坊,廊坊,河北,城市映射成功,18
三亚市,三亚,海南,城市映射成功,18
赤峰市,赤峰,内蒙古,城市映射成功,17
赣州,赣州,江西,城市映射成功,17
通化,通化,吉林,城市映射成功,17
六安市,六安,安徽,城市映射成功,17
通辽市,通辽,内蒙古,城市映射成功,17
日照市,日照,山东,城市映射成功,17
常德市,常德,湖南,城市映射成功,17
漳州,漳州,福建,城市映射成功,17
绵阳,绵阳,四川,城市映射成功,17
南阳市,南阳,河南,城市映射成功,16
唐山市,唐山,河北,城市映射成功,16
桂林,桂林,广西,城市映射成功,16
衢州市,衢州,浙江,城市映射成功,16
邢台市,邢台,河北,城市映射成功,15
焦作市,焦作,河南,城市映射成功,15
滁州,滁州,安徽,城市映射成功,15
自贡市,自贡,四川,城市映射成功,15
株洲市,株洲,湖南,城市映射成功,15
泉州,泉州,福建,城市映射成功,15
淮北市,淮北,安徽,城市映射成功,15
,,瑞士,境外申请人,15
石河子市,石河子,新疆,城市映射成功,15
蚌埠,蚌埠,安徽,城市映射成功,14
荆州,荆州,湖北,城市映射成功,14
渭南市,渭南,陕西,城市映射成功,14
六安,六安,安徽,城市映射成功,14
聊城,聊城,山东,城市映射成功,14
石河子,石河子,新疆,城市映射成功,14
肇庆市,肇庆,广东,城市映射成功,14
湘潭市,湘潭,湖南,城市映射成功,14
江门,江门,广东,城市映射成功,14
,,加拿大,境外申请人,14
马鞍山市,马鞍山,安徽,城市映射成功,13
宜宾市,宜宾,四川,城市映射成功,13
怀化市,怀化,湖南,城市映射成功,13
延边,延边,吉林,城市映射成功,13
安阳,安阳,河南,城市映射成功,13
锦州市,锦州,辽宁,城市映射成功,13
焦作,焦作,河南,城市映射成功,13
泸州市,泸州,四川,城市映射成功,13
洛阳,洛阳,河南,城市映射成功,13
三明市,三明,福建,城市映射成功,13
邯郸市,邯郸,河北,城市映射成功,13
汕头市,汕头,广东,城市映射成功,13
眉山,眉山,四川,城市映射成功,13
肇庆,肇庆,广东,城市映射成功,13
岳阳市,岳阳,湖南,城市映射成功,12
菏泽,菏泽,山东,城市映射成功,12
西双版纳傣族自治州,西双版纳傣族自治州,云南,城市映射成功,12
淮北,淮北,安徽,城市映射成功,12
东营市,东营,山东,城市映射成功,12
吉林市,吉林,吉林,城市映射成功,12
吉安市,吉安,江西,城市映射成功,12
宿迁,宿迁,江苏,城市映射成功,12
延边朝鲜族自治州,延边朝鲜族自治州,吉林,城市映射成功,12
台州,台州,浙江,城市映射成功,12
,,丹麦,境外申请人,12
常德,常德,湖南,城市映射成功,12
,,意大利,境外申请人,12
德阳市,德阳,四川,城市映射成功,11
黄冈市,黄冈,湖北,城市映射成功,11
齐齐哈尔,齐齐哈尔,黑龙江,城市映射成功,11
盘锦市,盘锦,辽宁,城市映射成功,11
九江市,九江,江西,城市映射成功,11
汉中市,汉中,陕西,城市映射成功,11
香港,香港,香港,城市映射成功,11
惠州,惠州,广东,城市映射成功,11
遵义,遵义,贵州,城市映射成功,11
,,英国,境外申请人,11
黄山市,黄山,安徽,城市映射成功,11
宜春市,宜春,江西,城市映射成功,10
宁德市,宁德,福建,城市映射成功,10
芜湖,芜湖,安徽,城市映射成功,10
襄阳市,襄阳,湖北,城市映射成功,10
黄山,黄山,安徽,城市映射成功,10
通辽,通辽,内蒙古,城市映射成功,10
恩施土家族苗族自治州,恩施土家族苗族自治州,湖北,城市映射成功,10
惠州市,惠州,广东,城市映射成功,10
绥化,绥化,黑龙江,城市映射成功,10
汕头,汕头,广东,城市映射成功,10
清远,清远,广东,城市映射成功,10
吉林,吉林,吉林,城市映射成功,10
东营,东营,山东,城市映射成功,10
大庆,大庆,黑龙江,城市映射成功,10
枣庄,枣庄,山东,城市映射成功,10
汉中,汉中,陕西,城市映射成功,10
茂名市,茂名,广东,城市映射成功,10
黄石市,黄石,湖北,城市映射成功,10
秦皇岛,秦皇岛,河北,城市映射成功,9
唐山,唐山,河北,城市映射成功,9
舟山,舟山,浙江,城市映射成功,9
自贡,自贡,四川,城市映射成功,9
柳州市,柳州,广西,城市映射成功,9
通化市,通化,吉林,城市映射成功,9
阿拉尔市,阿拉尔,新疆,城市映射成功,9
赤峰,赤峰,内蒙古,城市映射成功,9
黄冈,黄冈,湖北,城市映射成功,9
马鞍山,马鞍山,安徽,城市映射成功,9
鄂尔多斯市,鄂尔多斯,内蒙古,城市映射成功,9
南平市,南平,福建,城市映射成功,9
十堰市,十堰,湖北,城市映射成功,9
云浮市,云浮,广东,城市映射成功,9
亳州市,亳州,安徽,城市映射成功,8
泸州,泸州,四川,城市映射成功,8
咸宁市,咸宁,湖北,城市映射成功,8
益阳市,益阳,湖南,城市映射成功,8
丽水市,丽水,浙江,城市映射成功,8
,,荷兰,境外申请人,8
邵阳市,邵阳,湖南,城市映射成功,8
阳江,阳江,广东,城市映射成功,8
承德市,承德,河北,城市映射成功,8
开封,开封,河南,城市映射成功,8
运城市,运城,山西,城市映射成功,8
沧州市,沧州,河北,城市映射成功,8
香港特别行政区,香港,香港,城市映射成功,8
雅安市,雅安,四川,城市映射成功,8
龙岩市,龙岩,福建,城市映射成功,8
宜春,宜春,江西,城市映射成功,8
曲靖市,曲靖,云南,城市映射成功,8
朝阳市,朝阳,辽宁,城市映射成功,8
,,比利时,境外申请人,7
日照,日照,山东,城市映射成功,7
昌吉回族自治州,昌吉回族自治州,新疆,城市映射成功,7
,,瑞典,境外申请人,7
牡丹江市,牡丹江,黑龙江,城市映射成功,7
十堰,十堰,湖北,城市映射成功,7
六盘水市,六盘水,贵州,城市映射成功,7
南阳,南阳,河南,城市映射成功,7
鄂州市,鄂州,湖北,城市映射成功,7
鞍山市,鞍山,辽宁,城市映射成功,7
韶关,韶关,广东,城市映射成功,7
驻马店市,驻马店,河南,城市映射成功,7
宿州市,宿州,安徽,城市映射成功,7
黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,城市映射成功,6
衢州,衢州,浙江,城市映射成功,6
孝感,孝感,湖北,城市映射成功,6
安庆市,安庆,安徽,城市映射成功,6
宝鸡,宝鸡,陕西,城市映射成功,6
湘潭,湘潭,湖南,城市映射成功,6
信阳市,信阳,河南,城市映射成功,6
,,奥地利,境外申请人,6
宣城市,宣城,安徽,城市映射成功,6
克拉玛依市,克拉玛依,新疆,城市映射成功,6
六盘水,六盘水,贵州,城市映射成功,6
咸宁,咸宁,湖北,城市映射成功,6
包头市,包头,内蒙古,城市映射成功,6
三门峡市,三门峡,河南,城市映射成功,6
邵阳,邵阳,湖南,城市映射成功,6
上饶,上饶,江西,城市映射成功,6
伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,城市映射成功,6
池州市,池州,安徽,城市映射成功,6
邢台,邢台,河北,城市映射成功,5
钦州市,钦州,广西,城市映射成功,5
呼伦贝尔,呼伦贝尔,内蒙古,城市映射成功,5
三明,三明,福建,城市映射成功,5
文山,文山,云南,城市映射成功,5
,,新加坡,境外申请人,5
,,印度,境外申请人,5
宿州,宿州,安徽,城市映射成功,5
随州,随州,湖北,城市映射成功,5
来宾市,来宾,广西,城市映射成功,5
晋中,晋中,山西,城市映射成功,5
周口市,周口,河南,城市映射成功,5
淮南,淮南,安徽,城市映射成功,5
漯河市,漯河,河南,城市映射成功,5
云浮,云浮,广东,城市映射成功,5
商丘市,商丘,河南,城市映射成功,5
揭阳,揭阳,广东,城市映射成功,5
九江,九江,江西,城市映射成功,5
楚雄,楚雄,云南,城市映射成功,5
固原市,固原,宁夏,城市映射成功,5
绥化市,绥化,黑龙江,城市映射成功,5
拉萨,拉萨,西藏,城市映射成功,5
玉林市,玉林,广西,城市映射成功,5
衡阳,衡阳,湖南,城市映射成功,5
巴彦淖尔市,巴彦淖尔,内蒙古,城市映射成功,5
恩施,恩施,湖北,城市映射成功,5
韶关市,韶关,广东,城市映射成功,5
,,巴西,境外申请人,5
鹤壁市,鹤壁,河南,城市映射成功,5
阿拉尔,阿拉尔,新疆,城市映射成功,5
怀化,怀化,湖南,城市映射成功,5
本溪市,本溪,辽宁,城市映射成功,5
葫芦岛市,葫芦岛,辽宁,城市映射成功,5
朝阳,朝阳,辽宁,城市映射成功,5
荆门市,荆门,湖北,城市映射成功,5
,,以色列,境外申请人,4
淮南市,淮南,安徽,城市映射成功,4
河池市,河池,广西,城市映射成功,4
,,西班牙,境外申请人,4
梅州,梅州,广东,城市映射成功,4
永州,永州,湖南,城市映射成功,4
株洲,株洲,湖南,城市映射成功,4
大理,大理,云南,城市映射成功,4
白城,白城,吉林,城市映射成功,4
孝感市,孝感,湖北,城市映射成功,4
宝鸡市,宝鸡,陕西,城市映射成功,4
黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,城市映射成功,4
巴彦淖尔,巴彦淖尔,内蒙古,城市映射成功,4
西宁,西宁,青海,城市映射成功,4
抚州市,抚州,江西,城市映射成功,4
抚顺市,抚顺,辽宁,城市映射成功,4
安庆,安庆,安徽,城市映射成功,4
荆门,荆门,湖北,城市映射成功,4
普洱市,普洱,云南,城市映射成功,4
攀枝花市,攀枝花,四川,城市映射成功,4
鄂尔多斯,鄂尔多斯,内蒙古,城市映射成功,4
阿克苏地区,阿克苏地区,新疆,城市映射成功,4
锦州,锦州,辽宁,城市映射成功,4
周口,周口,河南,城市映射成功,4
邯郸,邯郸,河北,城市映射成功,4
阳江市,阳江,广东,城市映射成功,4
红河,红河,云南,城市映射成功,4
聊城市,聊城,山东,城市映射成功,4
南充,南充,四川,城市映射成功,4
榆林市,榆林,陕西,城市映射成功,4
吴忠市,吴忠,宁夏,城市映射成功,4
四平市,四平,吉林,城市映射成功,4
伊犁,伊犁,新疆,城市映射成功,4
亳州,亳州,安徽,城市映射成功,4
五家渠市,五家渠,新疆,城市映射成功,4
包头,包头,内蒙古,城市映射成功,4
永州市,永州,湖南,城市映射成功,4
黑河市,黑河,黑龙江,城市映射成功,3
,,澳大利亚,境外申请人,3
驻马店,驻马店,河南,城市映射成功,3
鹤壁,鹤壁,河南,城市映射成功,3
龙岩,龙岩,福建,城市映射成功,3
运城,运城,山西,城市映射成功,3
西双版纳,西双版纳,云南,城市映射成功,3
崇左,崇左,广西,城市映射成功,3
阜新,阜新,辽宁,城市映射成功,3
张家口,张家口,河北,城市映射成功,3
张掖市,张掖,甘肃,城市映射成功,3
延安市,延安,陕西,城市映射成功,3
宣城,宣城,安徽,城市映射成功,3
岳阳,岳阳,湖南,城市映射成功,3
宜宾,宜宾,四川,城市映射成功,3
新余市,新余,江西,城市映射成功,3
攀枝花,攀枝花,四川,城市映射成功,3
本溪,本溪,辽宁,城市映射成功,3
日喀则,日喀则,西藏,城市映射成功,3
襄阳,襄阳,湖北,城市映射成功,3
茂名,茂名,广东,城市映射成功,3
大理白族自治州,大理白族自治州,云南,城市映射成功,3
林芝市,林芝,西藏,城市映射成功,3
毕节市,毕节,贵州,城市映射成功,3
盘锦,盘锦,辽宁,城市映射成功,3
白银市,白银,甘肃,城市映射成功,3
固原,固原,宁夏,城市映射成功,3
松原,松原,吉林,城市映射成功,3
乐山市,乐山,四川,城市映射成功,3
沧州,沧州,河北,城市映射成功,3
楚雄彝族自治州,楚雄彝族自治州,云南,城市映射成功,3
五家渠,五家渠,新疆,城市映射成功,3
佳木斯,佳木斯,黑龙江,城市映射成功,3
漯河,漯河,河南,城市映射成功,3
保山,保山,云南,城市映射成功,3
潮州市,潮州,广东,城市映射成功,3
吕梁,吕梁,山西,城市映射成功,3
吉安,吉安,江西,城市映射成功,3
渭南,渭南,陕西,城市映射成功,3
鄂州,鄂州,湖北,城市映射成功,3
七台河市,七台河,黑龙江,城市映射成功,3
黄石,黄石,湖北,城市映射成功,3
上饶市,上饶,江西,城市映射成功,3
铁门关市,铁门关,新疆,城市映射成功,3
铜仁市,铜仁,贵州,城市映射成功,3
钦州,钦州,广西,城市映射成功,3
长治,长治,山西,城市映射成功,3
,,芬兰,境外申请人,2
七台河,七台河,黑龙江,城市映射成功,2
