第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
天水市,天水,甘肃,城市映射成功,2
咸宁市,咸宁,湖北,城市映射成功,2
延安,延安,陕西,城市映射成功,2
凉山,凉山,四川,城市映射成功,2
丹东,丹东,辽宁,城市映射成功,2
,,以色列,境外申请人,1
,,荷兰,境外申请人,1
,,韩国,境外申请人,1
咸阳市,咸阳,陕西,城市映射成功,1
大庆市,大庆,黑龙江,城市映射成功,1
天水,天水,甘肃,城市映射成功,1
吉林市,吉林,吉林,城市映射成功,1
吕梁,吕梁,山西,城市映射成功,1
,,瑞典,境外申请人,1
,,爱尔兰,境外申请人,1
,,波兰,境外申请人,1
三亚市,三亚,海南,城市映射成功,1
三亚,三亚,海南,城市映射成功,1
上饶市,上饶,江西,城市映射成功,1
九江,九江,江西,城市映射成功,1
丽水,丽水,浙江,城市映射成功,1
临汾市,临汾,山西,城市映射成功,1
临沂市,临沂,山东,城市映射成功,1
中山市,中山,广东,城市映射成功,1
克拉玛依,克拉玛依,新疆,城市映射成功,1
信阳,信阳,河南,城市映射成功,1
包头,包头,内蒙古,城市映射成功,1
抚顺,抚顺,辽宁,城市映射成功,1
扬州,扬州,江苏,城市映射成功,1
忻州市,忻州,山西,城市映射成功,1
廊坊,廊坊,河北,城市映射成功,1
廊坊市,廊坊,河北,城市映射成功,1
张家口市,张家口,河北,城市映射成功,1
徐州,徐州,江苏,城市映射成功,1
徐州市,徐州,江苏,城市映射成功,1
娄底,娄底,湖南,城市映射成功,1
威海市,威海,山东,城市映射成功,1
吉安市,吉安,江西,城市映射成功,1
咸宁,咸宁,湖北,城市映射成功,1
商丘市,商丘,河南,城市映射成功,1
潍坊,潍坊,山东,城市映射成功,1
潍坊市,潍坊,山东,城市映射成功,1
澳门,澳门,澳门,城市映射成功,1
曲靖,曲靖,云南,城市映射成功,1
攀枝花,攀枝花,四川,城市映射成功,1
拉萨市,拉萨,西藏,城市映射成功,1
日照,日照,山东,城市映射成功,1
永州,永州,湖南,城市映射成功,1
汕头,汕头,广东,城市映射成功,1
泰安,泰安,山东,城市映射成功,1
新乡市,新乡,河南,城市映射成功,1
湛江,湛江,广东,城市映射成功,1
滁州市,滁州,安徽,城市映射成功,1
淄博市,淄博,山东,城市映射成功,1
海口,海口,海南,城市映射成功,1
淮南,淮南,安徽,城市映射成功,1
淮北市,淮北,安徽,城市映射成功,1
清远,清远,广东,城市映射成功,1
泰州市,泰州,江苏,城市映射成功,1
盘锦,盘锦,辽宁,城市映射成功,1
盐城市,盐城,江苏,城市映射成功,1
焦作市,焦作,河南,城市映射成功,1
烟台市,烟台,山东,城市映射成功,1
漳州,漳州,福建,城市映射成功,1
赣州市,赣州,江西,城市映射成功,1
运城市,运城,山西,城市映射成功,1
西宁,西宁,青海,城市映射成功,1
自贡市,自贡,四川,城市映射成功,1
聊城,聊城,山东,城市映射成功,1
许昌,许昌,河南,城市映射成功,1
茂名,茂名,广东,城市映射成功,1
菏泽,菏泽,山东,城市映射成功,1
莆田,莆田,福建,城市映射成功,1
衢州,衢州,浙江,城市映射成功,1
邯郸市,邯郸,河北,城市映射成功,1
镇江市,镇江,江苏,城市映射成功,1
锦州,锦州,辽宁,城市映射成功,1
通化,通化,吉林,城市映射成功,1
连云港市,连云港,江苏,城市映射成功,1
邯郸,邯郸,河北,城市映射成功,1
通辽,通辽,内蒙古,城市映射成功,1
阜阳,阜阳,安徽,城市映射成功,1
阳泉,阳泉,山西,城市映射成功,1
雅安,雅安,四川,城市映射成功,1
阿坝,阿坝,四川,城市映射成功,1
韶关,韶关,广东,城市映射成功,1
韶关市,韶关,广东,城市映射成功,1
香港特别行政区,香港,香港,城市映射成功,1
马鞍山,马鞍山,安徽,城市映射成功,1
马鞍山市,马鞍山,安徽,城市映射成功,1
黑河,黑河,黑龙江,城市映射成功,1
