第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
南通大学,江苏; 32,2019,2023,9,65,7.222222222222222,量子计算；量子通信与安全,量子计算系统；量子通信与安全,fidelity；qubit；qubits；保真度；分布式量子计算；量子密钥；量子密钥分发；量子线路；量子计算；量子计算机；量子通信；量子门,4,2,3,0,量子计算系统,量子计算,核心量子企业
卜登立,江西; 36,2019,2021,2,10,5.0,量子计算,量子计算系统,量子电路；量子门,0,2,0,0,量子计算系统,量子计算,较高相关企业
卡姆鲁普股份有限公司,丹麦; DK,2021,2021,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
卡沃斯巴加泰勒管理有限公司,德国; DE,2019,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
卡莱多生物科技有限公司,美国; US,2021,2021,2,8,4.0,量子基础概念,其他量子相关/待复核,量子相干,0,0,2,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
印地安纳大学理事会,美国; US,2021,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
厦门大学,福建; 35,2022,2022,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
厦门潭宏信息科技有限公司,福建; 35,2021,2021,1,15,15.0,量子通信与安全,量子通信与安全,量子密钥；量子比特；量子计算；量子计算机,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
司法鉴定科学研究院,上海; 31,2022,2022,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
合肥先端晶体科技有限责任公司,安徽; 34,2022,2022,1,6,6.0,量子传感,量子传感器/精密测量,NV色心；laser；光调制器；激光器；金刚石NV色心,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
合肥合燃华润燃气有限公司,安徽; 34,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
合肥圣达电子科技实业有限公司,安徽; 34,2023,2023,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
合肥宽特姆量子科技有限公司,安徽; 34,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
合肥工业大学,安徽; 34,2019,2023,15,90,6.0,量子传感；量子计算；量子通信与安全,量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,抗量子攻击；量子密钥；量子密钥分发；量子密钥分配；量子比特；量子算法；量子计算；量子计算机；量子通信；频率基准,2,11,0,2,量子通信与安全,量子通信与安全,核心量子企业
合肥师范学院,安徽; 34,2020,2020,1,5,5.0,量子传感,量子传感器/精密测量,磁光阱,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
合肥幺正量子科技有限公司,安徽; 34,2023,2023,1,11,11.0,量子传感,量子计算系统,laser；lasers；qubit；qubits；光调制器；激光器；量子技术；量子比特,1,0,0,0,量子计算系统,量子传感,较高相关企业
合肥弈维量子科技有限公司,安徽; 34,2023,2023,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
合肥微观纪元数字科技有限公司,安徽; 34,2023,2023,1,9,9.0,量子计算,量子软件/算法/模拟,量子算法；量子计算,1,0,0,0,量子软件/算法/模拟,量子计算,较高相关企业
合肥本源量子计算科技有限责任公司,安徽; 34,2019,2023,279,3001,10.756272401433693,量子传感；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,entanglement；fidelity；qubit；qubits；superposition；保真度；叠加态；稀释制冷机；自旋量子比特；超导量子比特；超导量子电路；超导量子芯片；量子信息；量子化学；量子叠加；量子处理器；量子并行；量子态；量子技术；量子机器学习；量子模拟；量子比特；量子电路；量子算法；量子纠缠；量子纠错；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子门；门保真度,211,59,9,0,量子计算系统,量子计算,核心量子企业
合肥硅臻芯片技术有限公司,安徽; 34,2023,2023,6,36,6.0,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子通信与安全,entanglement；laser；叠加态；激光器；量子信息；量子叠加；量子密钥；量子密钥分发；量子态；量子纠缠；量子计算,1,3,2,0,其他量子相关/待复核,量子通信与安全,核心量子企业
合肥量芯科技有限公司,安徽; 34,2020,2023,4,26,6.5,量子传感；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；单光子探测器；量子信息；量子密钥；量子密钥分发；量子密钥分配,2,2,0,0,量子通信与安全,量子通信与安全,核心量子企业
