第一申请人,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count
中国人民解放军军事科学院国防科技创新研究院,2023,1,5,5.0,量子计算,量子计算系统,量子芯片；量子计算,0,1,0,0
中国人民解放军国防科技大学,2019,1,15,15.0,量子计算硬件,量子计算硬件/量子芯片,离子阱；量子模拟；量子比特,1,0,0,0
中国人民解放军国防科技大学,2020,16,109,6.8125,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,QKD；laser；superposition；冷原子干涉；冷原子干涉仪；单光子探测器；原子干涉；原子干涉仪；叠加态；激光器；量子保密通信；量子密钥；量子密钥分发；量子密钥分配；量子态；量子技术；量子比特；量子芯片；量子通信；频率基准,4,9,0,3
中国人民解放军国防科技大学,2021,7,52,7.428571428571429,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,QKD；laser；光调制器；冷原子干涉；冷原子干涉仪；原子干涉；原子干涉仪；激光器；量子传感；量子传感器；量子信息；量子信息技术；量子密钥；量子密钥分发；量子比特；量子通信,2,5,0,0
中国人民解放军国防科技大学,2022,12,92,7.666666666666667,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,MOT；QKD；entanglement；laser；superposition；光调制器；原子干涉；原子钟；激光器；量子保密通信；量子信息；量子密钥；量子密钥分发；量子态；量子模拟；量子比特；量子纠缠；量子网络；量子计算；量子计算机；量子通信,4,4,1,3
中国人民解放军国防科技大学,2023,3,19,6.333333333333333,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,entanglement；时间频率传递；量子互联网；量子保密通信；量子纠缠,1,1,0,1
中国人民解放军总医院,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0
中国人民解放军战略支援部队信息工程大学,2019,1,7,7.0,量子计算,量子软件/算法/模拟,量子算法；量子线路,0,1,0,0
中国人民解放军战略支援部队信息工程大学,2021,10,124,12.4,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子软件/算法/模拟；量子通信与安全,fidelity；superposition；保真度；叠加态；量子信息；量子处理器；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子算法；量子线路；量子芯片；量子计算；量子计算机,8,2,0,0
中国人民解放军战略支援部队信息工程大学,2022,11,112,10.181818181818182,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,上游材料与核心部件；其他量子相关/待复核；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,laser；单光子探测器；激光器；物理量子比特；超导量子芯片；量子信息；量子态；量子比特；量子算法；量子纠错；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子误差校正；量子门,7,2,2,0
中国人民解放军战略支援部队信息工程大学,2023,4,44,11.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟,qubit；qubits；超导量子比特；量子态；量子比特；量子电路；量子算法；量子线路；量子计算,3,1,0,0
中国人民解放军战略支援部队航天工程大学,2019,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,1,0
中国人民解放军战略支援部队航天工程大学,2020,2,7,3.5,量子传感；量子基础概念,其他量子相关/待复核；量子计量/时间频率/PNT候选,原子钟；叠加态,0,0,1,1
中国人民解放军战略支援部队航天工程大学,2021,6,24,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,6,0
中国人民解放军海军工程大学,2019,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2
中国人民解放军海军工程大学,2021,1,5,5.0,量子传感,量子传感器/精密测量,原子干涉,0,1,0,0
中国人民解放军火箭军工程大学,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国人民解放军空军工程大学,2019,2,10,5.0,量子传感,其他量子相关/待复核；量子计量/时间频率/PNT候选,entanglement；原子钟；量子技术,0,1,0,1
中国人民解放军空军预警学院,2022,1,10,10.0,量子通信与安全,量子通信与安全,逻辑量子比特；量子密钥；量子密钥分发；量子比特,1,0,0,0
中国人民银行清算总中心,2020,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0
中国信息通信研究院,2019,2,12,6.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,QKD；entanglement；量子密钥；量子密钥分发；量子计算,0,2,0,0
中国信息通信研究院,2020,2,13,6.5,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；频率基准,1,0,0,1
中国信息通信研究院,2021,3,26,8.666666666666666,量子计算；量子通信与安全,量子计算系统；量子通信与安全,QKD；entanglement；量子保密通信；量子处理器；量子密钥；量子密钥分发；量子比特；量子纠缠；量子通信,2,1,0,0
中国农业大学,2019,1,5,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,1,0,0
中国医学科学院北京协和医院,2022,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
中国医学科学院病原生物学研究所,2019,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0
中国十七冶集团有限公司,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
中国地质大学(武汉),2022,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0
中国工商银行股份有限公司,2021,1,9,9.0,量子通信与安全,量子通信与安全,量子态；量子通信,1,0,0,0
中国建筑材料科学研究总院有限公司,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国建设银行股份有限公司,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0
中国林业科学研究院林业研究所,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
中国水利水电科学研究院,2019,1,5,5.0,量子计算,量子软件/算法/模拟,量子模拟,0,1,0,0
中国海洋大学,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
