技术方向,企业专利数,企业数,企业专利占比
量子计算,25,11,0.14792899408284024
量子通信与安全,102,18,0.6035502958579881
量子传感,27,24,0.15976331360946747
量子计算硬件,13,3,0.07692307692307693
量子基础概念,2,2,0.011834319526627219
