主体组,技术方向,专利数,主体数,组内专利占比
企业,量子计算,25,11,0.14792899408284024
高校院所,量子计算,39,13,0.21081081081081082
企业,量子通信与安全,102,18,0.6035502958579881
高校院所,量子通信与安全,27,12,0.14594594594594595
企业,量子传感,27,24,0.15976331360946747
高校院所,量子传感,93,21,0.5027027027027027
企业,量子计算硬件,13,3,0.07692307692307693
高校院所,量子计算硬件,17,7,0.0918918918918919
企业,量子基础概念,2,2,0.011834319526627219
高校院所,量子基础概念,9,5,0.04864864864864865
