省级地区,企业数,企业专利数,CR1,CR3,CR5,CR10,HHI
上海,51,169,0.2781065088757396,0.46745562130177515,0.5739644970414202,0.7278106508875739,0.10878470641784253
北京,155,832,0.38100961538461536,0.5396634615384616,0.5985576923076924,0.6971153846153845,0.1647443602071005
安徽,67,1029,0.40524781341107874,0.652089407191448,0.7512147716229349,0.8736637512147716,0.2049797845002224
广东,168,417,0.10551558752997602,0.2949640287769784,0.4148681055155875,0.5299760191846522,0.04166451011852389
江苏,130,362,0.1132596685082873,0.2845303867403315,0.4116022099447514,0.5552486187845304,0.04342053050883674
浙江,82,337,0.44807121661721067,0.5964391691394658,0.6350148367952522,0.7062314540059347,0.2168285359561148
