省级地区,企业数,企业专利数,企业平均专利数,多年活跃企业数,三年及以上活跃企业数,多年活跃企业占比
上海,51,169,3.3137254901960786,10,6,0.19607843137254902
北京,155,832,5.367741935483871,30,15,0.1935483870967742
安徽,67,1029,15.35820895522388,25,12,0.373134328358209
广东,168,417,2.482142857142857,22,11,0.13095238095238096
江苏,130,362,2.742424242424242,17,8,0.13076923076923078
浙江,82,337,4.109756097560975,18,10,0.21951219512195122
