类别,专利数,创新主体数,明确企业数,企业专利数,高相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,专利占比
量子通信与安全,25,8,5,19,11,25,0,7.64,0.38461538461538464
量子计量/时间频率/PNT候选,19,10,3,3,0,1,18,3.3684210526315788,0.2923076923076923
量子计算硬件/量子芯片,6,5,2,3,2,6,0,8.0,0.09230769230769231
其他量子相关/待复核,5,3,0,0,2,2,0,6.0,0.07692307692307693
量子传感器/精密测量,5,5,2,2,1,5,0,6.2,0.07692307692307693
量子计算系统,5,3,2,2,2,5,0,9.0,0.07692307692307693
