类别,专利数,创新主体数,明确企业数,企业专利数,高相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,专利占比
量子传感,26,14,5,5,3,8,18,4.346153846153846,0.4
量子通信与安全,25,8,5,19,11,25,0,7.64,0.38461538461538464
量子计算硬件,6,5,2,3,2,6,0,8.0,0.09230769230769231
量子计算,5,3,2,2,2,5,0,9.0,0.07692307692307693
量子基础概念,3,3,0,0,0,0,0,4.0,0.046153846153846156
