省级地区,明确企业数,企业专利数,CR1,CR3,CR5,CR10,HHI
上海市,13,29,0.27586206896551724,0.6206896551724138,0.7241379310344828,0.896551724137931,0.17241379310344832
北京市,19,75,0.5466666666666666,0.7466666666666667,0.8133333333333334,0.88,0.32799999999999996
安徽省,5,46,0.5,0.9565217391304347,0.9999999999999999,0.9999999999999999,0.3610586011342155
江苏省,13,25,0.4,0.6,0.68,0.8800000000000001,0.19679999999999997
浙江省,8,68,0.8676470588235294,0.9264705882352942,0.9558823529411764,1.0,0.7556228373702422
广东省,18,32,0.28125,0.5,0.59375,0.75,0.12109375
