第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
山东大学,中国,济南,2024,2,10,5.0,量子通信与安全,量子通信与安全,抗量子密码；抗量子攻击,0,2,0,0,学校
山东大学,中国,济南,2025,2,9,4.5,量子传感；量子基础概念,其他量子相关/待复核；量子传感器/精密测量,NV色心；量子态,0,1,1,0,学校
山东大学,中国,青岛,2024,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,学校
山东大学,中国,青岛,2025,1,5,5.0,量子通信与安全,量子通信与安全,后量子密码,0,1,0,0,学校
山东大学,中国,青岛市,2023,1,10,10.0,量子通信与安全,量子通信与安全,后量子密码；量子安全通信,1,0,0,0,学校
山东天马泰山机械集团有限公司,中国,济南,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
山东宇洋汽车尾气净化装置有限公司,中国,聊城,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
山东工商学院,中国,烟台,2024,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子测量,1,0,0,0,学校
山东师范大学,中国,济南市,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,学校
山东建筑大学,中国,济南市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,学校
山东新潮信息技术有限公司,中国,济南,2025,1,14,14.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态；量子通信,1,0,0,0,企业
山东晶大光电科技有限公司,中国,济南市,2023,1,24,24.0,量子传感,量子软件/算法/模拟,量子信息；量子态；量子比特；量子纠缠；量子纠错；量子计算；量子计算机,1,0,0,0,企业
山东极光智能科技有限公司,中国,济南市,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,企业
山东正元冶达环境科技有限公司,中国,济南,2024,1,4,4.0,量子基础概念,其他量子相关/待复核,量子纠缠,0,0,1,0,企业
山东正元环境科技有限公司,中国,济南,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子计算,1,0,0,0,企业
山东济宁运河煤矿有限责任公司,中国,济宁,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
山东浪潮科学研究院有限公司,中国,济南,2024,13,104,8.0,量子基础概念；量子计算,其他量子相关/待复核；量子计算系统,保真度；量子态；量子比特；量子纠缠；量子芯片；量子计算；量子计算机；量子门,6,6,1,0,企业
