第一申请人,主体类型,省级地区,第一申请人城市标准化,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,main_categories,main_sub_categories,report_tech_routes,firm_main_category,firm_main_sub_category,firm_main_report_tech_route,type_review_count
上海交通大学,高校,上海,上海,2023,24,80,3.3333333333333335,产品与应用；代谢工程与细胞工厂；生物过程与规模化；底盘细胞与菌株工程；酶与蛋白质工程；测试筛选与自动化；DNA/RNA读写编辑,高值活性分子；表达系统；发酵工程；天然产物与精细化学品；下游分离纯化；菌种选育与诱变；蛋白质工程；酶工程；工业菌种创制；高通量构建与筛选；生物催化；生物反应器；基因与基因组编辑,生物制造产品与应用；细胞工厂与菌株工程；生物过程与规模化；酶与蛋白质工程；生物设计、读写与自动化工具,生物过程与规模化,高值活性分子,生物过程与规模化,0
上海交通大学,高校,上海,上海,2024,21,76,3.619047619047619,底盘细胞与菌株工程；代谢工程与细胞工厂；测试筛选与自动化；DNA/RNA读写编辑；生物元件与线路；酶与蛋白质工程；生物过程与规模化；产品与应用,工业菌种创制；表达系统；高通量构建与筛选；基因与基因组编辑；模块化装配；生物催化；生物反应器；重组药物与生物活性原料；酶工程；下游分离纯化；基因合成；代谢工程；工艺放大与中试；高值活性分子,细胞工厂与菌株工程；生物设计、读写与自动化工具；酶与蛋白质工程；生物过程与规模化；生物制造产品与应用,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,0
上海交通大学,高校,上海,上海,2025,23,76,3.3043478260869565,生物过程与规模化；产品与应用；DNA/RNA读写编辑；底盘细胞与菌株工程；酶与蛋白质工程；计算设计与AI；生物元件与线路；代谢工程与细胞工厂,下游分离纯化；重组药物与生物活性原料；基因与基因组编辑；工业菌种创制；发酵工程；高值活性分子；生物催化；多组学与系统建模；基因测序；标准化生物元件；生物反应器；氨基酸与有机酸发酵产品；细胞工厂,生物过程与规模化；生物制造产品与应用；生物设计、读写与自动化工具；细胞工厂与菌株工程；酶与蛋白质工程,产品与应用,基因与基因组编辑,生物设计、读写与自动化工具,0
上海交通大学医学院,高校,上海,上海,2022,1,4,4.0,DNA/RNA读写编辑,基因测序,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因测序,生物设计、读写与自动化工具,0
上海交通大学医学院,高校,上海,上海,2023,1,4,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海交通大学医学院附属上海儿童医学中心,医疗机构,上海,上海,2023,2,5,2.5,产品与应用；前沿生物制造,高值活性分子；干细胞与细胞规模制造,生物制造产品与应用；前沿制造与基础支撑,产品与应用,高值活性分子,生物制造产品与应用,0
上海交通大学医学院附属仁济医院,医疗机构,上海,上海,2021,2,8,4.0,代谢工程与细胞工厂,代谢工程,细胞工厂与菌株工程,代谢工程与细胞工厂,代谢工程,细胞工厂与菌株工程,0
上海交通大学医学院附属仁济医院,医疗机构,上海,上海,2025,2,6,3.0,DNA/RNA读写编辑；产品与应用,基因合成；高值活性分子,生物设计、读写与自动化工具；生物制造产品与应用,DNA/RNA读写编辑,基因合成,生物设计、读写与自动化工具,0
上海交通大学医学院附属瑞金医院,医疗机构,上海,上海,2021,2,8,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海交通大学医学院附属瑞金医院,医疗机构,上海,上海,2022,1,4,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海交通大学医学院附属瑞金医院,医疗机构,上海,上海,2023,1,4,4.0,DNA/RNA读写编辑,基因测序,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因测序,生物设计、读写与自动化工具,0
上海交通大学医学院附属瑞金医院,医疗机构,上海,上海,2025,2,3,1.5,产品与应用,重组药物与生物活性原料；平台化合物,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海交通大学医学院附属第九人民医院,医疗机构,上海,上海,2022,2,6,3.0,产品与应用；前沿生物制造,平台化合物；3D生物打印,生物制造产品与应用；前沿制造与基础支撑,产品与应用,平台化合物,生物制造产品与应用,0
上海交通大学医学院附属第九人民医院,医疗机构,上海,上海,2023,6,21,3.5,前沿生物制造；产品与应用；DNA/RNA读写编辑,3D生物打印；重组药物与生物活性原料；基因与基因组编辑,前沿制造与基础支撑；生物制造产品与应用；生物设计、读写与自动化工具,前沿生物制造,3D生物打印,前沿制造与基础支撑,0
上海交通大学医学院附属第九人民医院,医疗机构,上海,上海,2024,5,15,3.0,生物过程与规模化；前沿生物制造；产品与应用,生物反应器；组织与器官工程制造；3D生物打印；重组药物与生物活性原料,生物过程与规模化；前沿制造与基础支撑；生物制造产品与应用,生物过程与规模化,生物反应器,生物过程与规模化,0
上海交通大学医学院附属第九人民医院,医疗机构,上海,上海,2025,4,11,2.75,生物过程与规模化；产品与应用；前沿生物制造,生物反应器；重组药物与生物活性原料；3D生物打印,生物过程与规模化；生物制造产品与应用；前沿制造与基础支撑,生物过程与规模化,生物反应器,生物过程与规模化,0
上海京新生物医药有限公司,企业,上海,上海,2023,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海仁度生物科技股份有限公司,企业,上海,上海,2025,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海仁酶生物科技有限公司,企业,上海,上海,2022,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海今莱生物科技有限公司,企业,上海,上海,2025,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海优替济生生物医药有限公司,企业,上海,上海,2023,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海伦泽生物科技有限公司,企业,上海,上海,2021,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海伦泽生物科技有限公司,企业,上海,上海,2022,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海伽誉生物科技有限公司,企业,上海,上海,2025,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海佰莱美生物科技有限公司,企业,上海,上海,2023,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
