省级地区,企业数,企业专利数,企业平均专利数,多年活跃企业数,三年及以上活跃企业数,多年活跃企业占比
上海,398,709,1.7814070351758795,68,16,0.1708542713567839
北京,392,802,2.045918367346939,79,32,0.20153061224489796
安徽,183,340,1.8579234972677596,40,7,0.2185792349726776
广东,988,1758,1.7721774193548387,193,57,0.19534412955465588
江苏,725,1367,1.8829201101928374,153,61,0.2110344827586207
浙江,459,782,1.7037037037037037,94,28,0.2047930283224401
