第一申请人,城市,专利数,活跃年份数,最早年份,最晚年份,主要技术路线,主要原始技术方向,技术路线覆盖
上海凯赛生物技术股份有限公司,上海,75,5,2021,2025,生物过程与规模化,生物过程与规模化,生物过程与规模化；生物制造产品与应用；原料与低碳路线；酶与蛋白质工程；细胞工厂与菌株工程
康码(上海)生物科技有限公司,上海,17,3,2022,2024,生物制造产品与应用,产品与应用,生物制造产品与应用；前沿制造与基础支撑；生物设计、读写与自动化工具；生物过程与规模化；细胞工厂与菌株工程
光明乳业股份有限公司,上海,10,4,2021,2024,生物过程与规模化,生物过程与规模化,生物过程与规模化；细胞工厂与菌株工程；生物制造产品与应用；酶与蛋白质工程；生物设计、读写与自动化工具
