省级地区,企业数,企业专利数,CR1,CR3,CR5,CR10,HHI
上海,398,709,0.10578279266572638,0.14386459802538787,0.16643159379407618,0.2115655853314527,0.014834457638144265
北京,392,802,0.128428927680798,0.16458852867830423,0.19451371571072318,0.2468827930174564,0.02044763403212666
安徽,183,340,0.08235294117647059,0.15588235294117647,0.2088235294117647,0.27647058823529413,0.015674740484429066
广东,988,1758,0.013083048919226393,0.034698521046643914,0.05176336746302617,0.09101251422070535,0.0023005509673962414
江苏,725,1367,0.030724213606437453,0.05998536942209218,0.08266276517922459,0.12874908558888076,0.003954109003691892
浙江,459,782,0.021739130434782608,0.05115089514066496,0.07672634271099744,0.12915601023017903,0.004441362890090986
