第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
上海精密计量测试研究所,科研院所,上海,上海,2022,1,3,3.0,量子传感,量子传感,0
上海聆芯科技有限公司,企业,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
上海联影医疗科技股份有限公司,企业,上海,上海,2022,3,15,5.0,量子传感,量子传感,0
上海联影医疗科技股份有限公司,企业,上海,上海,2023,1,5,5.0,量子传感,量子传感,0
上海航天测控通信研究所,科研院所,上海,上海,2021,1,3,3.0,量子传感,量子传感,0
上海航天测控通信研究所,科研院所,上海,上海,2022,3,9,3.0,量子传感,量子传感,0
上海航天测控通信研究所,科研院所,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
上海芯联芯智能科技有限公司,企业,上海,上海,2022,1,3,3.0,量子计算,量子计算,0
上海蔚来汽车有限公司,企业,上海,上海,2021,1,5,5.0,量子传感,量子传感,0
上海裕达实业有限公司,企业,上海,上海,2021,2,10,5.0,量子计算硬件,量子计算硬件,0
上海裕达实业有限公司,企业,上海,上海,2022,1,5,5.0,量子计算硬件,量子计算硬件,0
上海裕达实业有限公司,企业,上海,上海,2024,5,25,5.0,量子计算硬件,量子计算硬件,0
上海裕达实业有限公司,企业,上海,上海,2025,1,5,5.0,量子计算硬件,量子计算硬件,0
上海西虹桥导航技术有限公司,企业,上海,上海,2025,1,5,5.0,量子传感,量子传感,0
上海证锘信息科技有限公司,企业,上海,上海,2023,1,5,5.0,量子通信与安全,量子通信与安全,0
上海酷潮科技股份有限公司,企业,上海,上海,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
上海量子科学研究中心,科研院所,上海,上海,2025,2,12,6.0,量子传感；量子通信与安全,量子传感,0
上海量羲技术有限公司,企业,上海,上海,2024,1,8,8.0,量子计算,量子计算,0
上海量羲技术有限公司,企业,上海,上海,2025,4,38,9.5,量子计算；量子计算硬件,量子计算硬件,0
东华大学,高校,上海,上海,2021,2,10,5.0,量子通信与安全,量子通信与安全,0
东华大学,高校,上海,上海,2023,1,9,9.0,量子通信与安全,量子通信与安全,0
东华大学,高校,上海,上海,2025,2,10,5.0,量子通信与安全,量子通信与安全,0
中国极地研究中心(中国极地研究所),科研院所,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
中国科学院上海光学精密机械研究所,科研院所,上海,上海,2021,4,12,3.0,量子传感,量子传感,0
中国科学院上海光学精密机械研究所,科研院所,上海,上海,2022,2,6,3.0,量子传感,量子传感,0
中国科学院上海光学精密机械研究所,科研院所,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
中国科学院上海光学精密机械研究所,科研院所,上海,上海,2024,1,5,5.0,量子传感,量子传感,0
中国科学院上海光学精密机械研究所,科研院所,上海,上海,2025,5,39,7.8,量子传感；量子计算硬件；量子基础概念,量子传感,0
中国科学院上海天文台,科研院所,上海,上海,2022,1,3,3.0,量子传感,量子传感,0
中国科学院上海天文台,科研院所,上海,上海,2023,2,6,3.0,量子传感,量子传感,0
中国科学院上海天文台,科研院所,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
中国科学院上海微系统与信息技术研究所,科研院所,上海,上海,2022,4,26,6.5,量子计算；量子传感,量子计算,0
中国科学院上海微系统与信息技术研究所,科研院所,上海,上海,2023,5,35,7.0,量子计算；量子通信与安全,量子计算,0
中国科学院上海微系统与信息技术研究所,科研院所,上海,上海,2024,6,46,7.666666666666667,量子计算；量子计算硬件；量子通信与安全,量子计算,0
中国科学院上海微系统与信息技术研究所,科研院所,上海,上海,2025,4,37,9.25,量子计算；量子计算硬件；量子传感,量子计算硬件,0
