类别,专利数,创新主体数,明确企业数,企业专利数,高相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,专利占比
量子通信与安全,129,30,19,103,48,129,0,7.767441860465116,0.36338028169014086
量子传感,121,46,25,28,8,41,80,4.198347107438017,0.3408450704225352
量子计算,64,24,12,29,28,60,0,8.34375,0.18028169014084508
量子计算硬件,30,10,4,18,18,30,0,9.833333333333334,0.08450704225352113
量子基础概念,11,7,2,2,0,0,0,4.0,0.030985915492957747
