第一申请人,主体大类,第一申请人城市,专利数,活跃年份数,最早年份,最晚年份,高相关专利数,中相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,主要技术方向,技术方向覆盖,产业链环节覆盖,被引字段覆盖率,被引次数合计
智车优行科技(上海)有限公司,企业,上海市,1,1,2021,2021,0,1,1,0,5.0,量子传感,量子传感,量子传感器/精密测量,0.0,0.0
银联商务股份有限公司,企业,上海市,1,1,2021,2021,0,1,1,0,5.0,量子计算,量子计算,量子计算系统,0.0,0.0
上海循源生物科技有限公司,企业,上海,1,1,2025,2025,0,0,0,0,4.0,量子基础概念,量子基础概念,其他量子相关/待复核,0.0,0.0
上海中绿新能源科技有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,1.0,1.0
上海众人网络安全技术有限公司,企业,上海市,1,1,2021,2021,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海优扬新媒信息技术有限公司,企业,上海市,1,1,2021,2021,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海先积集成电路有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海光链电子科技有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海大帜信息技术有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海惟堪建筑工程技术有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,1.0,1.0
上海方位角数据科技有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海晶维材料科技有限公司,企业,上海,1,1,2025,2025,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海梦象智能科技有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海瑞柯恩激光技术有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海矢元电子股份有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海示方科技有限公司,企业,上海市,1,1,2021,2021,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海聆芯科技有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
上海芯联芯智能科技有限公司,企业,上海市,1,1,2022,2022,0,0,0,0,3.0,量子计算,量子计算,量子计算系统,0.0,0.0
中国船舶重工集团公司第七0四研究所,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
中广核数字科技有限公司,企业,上海,1,1,2025,2025,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
咪咕视讯科技有限公司,企业,上海市,1,1,2023,2023,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
爱晋仕(上海)信息科技有限公司,企业,上海,1,1,2025,2025,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
田禾信息科技(上海)有限公司,企业,上海,1,1,2024,2024,0,0,0,1,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
