年份,类别,专利数,企业专利数,严格核心专利数
2021,量子通信与安全,25,19,25
2021,量子传感,26,5,8
2021,量子计算硬件,6,3,6
2021,量子计算,5,2,5
2021,量子基础概念,3,0,0
2022,量子计算硬件,2,2,2
2022,量子计算,6,2,5
2022,量子传感,33,4,14
2022,量子通信与安全,21,19,21
2022,量子基础概念,2,0,0
2023,量子通信与安全,27,20,27
2023,量子传感,24,7,4
2023,量子计算,13,7,10
2024,量子通信与安全,27,25,27
2024,量子计算硬件,10,7,10
2024,量子传感,13,7,3
2024,量子计算,20,8,20
2024,量子基础概念,1,1,0
2025,量子计算,20,10,20
2025,量子传感,25,5,12
2025,量子通信与安全,29,20,29
2025,量子基础概念,5,1,0
2025,量子计算硬件,12,6,12
